danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,popularity,track_genre
0.577,0.446,-11.343,0.0313,0.554,0.0782,0.116,0.262,81.005,261640,60,acoustic
0.59,0.407,-9.079,0.0361,0.861,9.95e-06,0.094,0.276,145.852,211933,38,acoustic
0.538,0.315,-10.057,0.0291,0.96,0.00596,0.0979,0.4,91.921,218800,67,acoustic
0.447,0.158,-7.571,0.036,0.872,1.58e-06,0.0816,0.142,140.942,233266,57,acoustic
0.401,0.58,-6.86,0.0541,0.906,0.217,0.134,0.526,173.277,156453,60,acoustic
0.502,0.311,-13.421,0.0285,0.617,4.32e-05,0.129,0.4,107.612,165133,64,acoustic
0.678,0.612,-9.764,0.0339,0.1,0.316,0.164,0.857,118.381,216626,0,acoustic
0.65,0.406,-13.492,0.0761,0.568,0.0,0.484,0.862,79.642,251426,0,acoustic
0.649,0.399,-7.894,0.0256,0.184,0.000108,0.113,0.342,97.498,209293,0,acoustic
0.523,0.445,-6.359,0.0329,0.188,0.0,0.18,0.336,78.957,308146,61,acoustic
0.538,0.162,-13.31,0.0299,0.847,0.0,0.114,0.366,94.981,221170,50,acoustic
0.519,0.429,-7.707,0.0317,0.658,0.0,0.111,0.396,129.491,330786,47,acoustic
0.585,0.103,-12.682,0.0309,0.801,0.0,0.126,0.179,133.057,234135,58,acoustic
0.578,0.763,-4.824,0.0998,0.0916,2.8e-06,0.0743,0.394,96.808,173250,30,acoustic
0.223,0.891,-3.626,0.138,0.325,0.0,0.287,0.333,159.888,336619,52,acoustic
0.382,0.157,-16.157,0.0361,0.878,0.000473,0.112,0.224,136.11,144830,55,acoustic
0.642,0.374,-10.606,0.032,0.423,1.54e-06,0.435,0.0979,129.863,221538,67,acoustic
0.436,0.239,-12.83,0.0282,0.861,8.48e-05,0.0902,0.137,73.761,192972,45,acoustic
0.702,0.326,-6.638,0.0272,0.705,0.0,0.168,0.628,79.904,278640,56,acoustic
0.593,0.292,-12.755,0.0364,0.828,0.0,0.174,0.375,111.121,212864,37,acoustic
0.285,0.186,-12.729,0.0288,0.76,7.3e-05,0.104,0.203,153.848,219466,54,acoustic
0.636,0.625,-7.895,0.0277,0.222,5.35e-05,0.119,0.342,93.931,249120,66,acoustic
0.698,0.285,-7.632,0.0553,0.927,0.0,0.0883,0.53,135.027,148400,63,acoustic
0.601,0.439,-7.589,0.0269,0.0642,0.0,0.0942,0.275,99.976,244800,58,acoustic
0.332,0.298,-14.174,0.0569,0.875,0.00784,0.114,0.243,83.555,270840,55,acoustic
0.386,0.452,-7.715,0.0278,0.417,0.0,0.0881,0.287,169.837,279826,65,acoustic
0.62,0.668,-5.719,0.0305,0.088,0.0,0.362,0.183,118.013,244067,69,acoustic
0.394,0.281,-11.12,0.0414,0.826,0.0,0.0854,0.485,90.044,214738,44,acoustic
0.59,0.552,-10.496,0.0407,0.654,0.000359,0.128,0.635,155.101,207677,39,acoustic
0.539,0.717,-7.385,0.031,0.000298,0.111,0.125,0.212,117.973,265506,54,acoustic
0.543,0.138,-14.331,0.0531,0.791,0.0,0.185,0.3,115.65,188494,44,acoustic
0.62,0.547,-6.772,0.0248,0.112,0.0,0.19,0.208,98.032,210354,70,acoustic
